id,device,timestamp,sensor_type,value,lat,lon,is_deleted
47239,33,2025-07-03 18:36:29,CH4,0.0,31.76494,117.2648,0
47238,33,2025-07-03 18:36:28,CO2 ,350.0,31.76494,117.2648,0
47237,33,2025-07-03 18:36:28,CH4,0.0,31.76494,117.2648,0
47236,33,2025-07-03 18:36:27,CO2 ,350.0,31.76494,117.2648,0
47235,33,2025-07-03 18:36:27,CH4,0.0,31.76494,117.2648,0
47234,33,2025-07-03 18:36:26,CO2 ,350.0,31.76494,117.2648,0
47233,33,2025-07-03 18:36:26,CH4,0.0,31.76494,117.2648,0
47232,33,2025-07-03 18:36:24,CO2 ,-2.0,31.76494,117.2648,0
47231,33,2025-07-03 18:36:24,CH4,0.0,31.76494,117.2648,0
47230,33,2025-07-03 18:36:20,CO2 ,351.0,31.76494,117.2648,0
47229,33,2025-07-03 18:36:20,CH4,0.0,31.76494,117.2648,0
47228,33,2025-07-03 18:36:19,CO2 ,351.0,31.76494,117.2648,0
47227,33,2025-07-03 18:36:19,CH4,0.0,31.76494,117.2648,0
47226,33,2025-07-03 18:36:15,CO2 ,351.0,31.76494,117.2648,0
47225,33,2025-07-03 18:36:15,CH4,0.0,31.76494,117.2648,0
47224,33,2025-07-03 18:36:14,CO2 ,351.0,31.76494,117.2648,0
47223,33,2025-07-03 18:36:14,CH4,0.0,31.76494,117.2648,0
47222,33,2025-07-03 18:36:12,CO2 ,350.0,31.76494,117.2648,0
47221,33,2025-07-03 18:36:12,CH4,0.0,31.76494,117.2648,0
47220,33,2025-07-03 18:36:11,CO2 ,350.0,31.76494,117.2648,0
47219,33,2025-07-03 18:36:11,CH4,0.0,31.76494,117.2648,0
47218,33,2025-07-03 18:36:10,CO2 ,350.0,31.76494,117.2648,0
47217,33,2025-07-03 18:36:10,CH4,0.0,31.76494,117.2648,0
47216,33,2025-07-03 18:36:08,CO2 ,350.0,31.76494,117.2648,0
47215,33,2025-07-03 18:36:08,CH4,0.0,31.76494,117.2648,0
47214,33,2025-07-03 18:36:04,CO2 ,351.0,31.76494,117.2648,0
47213,33,2025-07-03 18:36:04,CH4,0.0,31.76494,117.2648,0
47212,33,2025-07-03 18:36:03,CO2 ,350.0,31.76494,117.2648,0
47211,33,2025-07-03 18:36:03,CH4,0.0,31.76494,117.2648,0
47210,33,2025-07-03 18:36:02,CO2 ,350.0,31.76494,117.2648,0
47209,33,2025-07-03 18:36:02,CH4,0.0,31.76494,117.2648,0
47208,33,2025-07-03 18:36:00,CO2 ,350.0,31.76494,117.2648,0
47207,33,2025-07-03 18:36:00,CH4,0.0,31.76494,117.2648,0
47206,33,2025-07-03 18:35:59,CO2 ,-2.0,31.76494,117.2648,0
47205,33,2025-07-03 18:35:59,CH4,0.0,31.76494,117.2648,0
47204,33,2025-07-03 18:35:57,CO2 ,350.0,31.76494,117.2648,0
47203,33,2025-07-03 18:35:57,CH4,0.0,31.76494,117.2648,0
47202,33,2025-07-03 18:35:55,CO2 ,350.0,31.76494,117.2648,0
47201,33,2025-07-03 18:35:55,CH4,0.0,31.76494,117.2648,0
47200,33,2025-07-03 18:35:51,CO2 ,350.0,31.76494,117.2648,0
47199,33,2025-07-03 18:35:51,CH4,0.0,31.76494,117.2648,0
47198,33,2025-07-03 18:35:50,CO2 ,350.0,31.76494,117.2648,0
47197,33,2025-07-03 18:35:50,CH4,0.0,31.76494,117.2648,0
47196,33,2025-07-03 18:35:49,CO2 ,350.0,31.76494,117.2648,0
47195,33,2025-07-03 18:35:49,CH4,0.0,31.76494,117.2648,0
47194,33,2025-07-03 18:35:47,CO2 ,350.0,31.76494,117.2648,0
47193,33,2025-07-03 18:35:47,CH4,0.0,31.76494,117.2648,0
47192,33,2025-07-03 18:35:43,CO2 ,350.0,31.76494,117.2648,0
47191,33,2025-07-03 18:35:43,CH4,0.0,31.76494,117.2648,0
47190,33,2025-07-03 18:35:42,CO2 ,350.0,31.76494,117.2648,0
47189,33,2025-07-03 18:35:42,CH4,0.0,31.76494,117.2648,0
47188,33,2025-07-03 18:35:41,CO2 ,350.0,31.76494,117.2648,0
47187,33,2025-07-03 18:35:41,CH4,0.0,31.76494,117.2648,0
47186,33,2025-07-03 18:35:40,CO2 ,350.0,31.76494,117.2648,0
47185,33,2025-07-03 18:35:40,CH4,0.0,31.76494,117.2648,0
47184,33,2025-07-03 18:35:38,CO2 ,350.0,31.76494,117.2648,0
47183,33,2025-07-03 18:35:38,CH4,0.0,31.76494,117.2648,0
47182,33,2025-07-03 18:35:37,CO2 ,-2.0,31.76494,117.2648,0
47181,33,2025-07-03 18:35:37,CH4,0.0,31.76494,117.2648,0
47180,33,2025-07-03 18:35:36,CO2 ,350.0,31.76494,117.2648,0
47179,33,2025-07-03 18:35:36,CH4,0.0,31.76494,117.2648,0
47178,33,2025-07-03 18:35:35,CO2 ,350.0,31.76494,117.2648,0
47177,33,2025-07-03 18:35:35,CH4,0.0,31.76494,117.2648,0
47176,33,2025-07-03 18:35:33,CO2 ,350.0,31.76494,117.2648,0
47175,33,2025-07-03 18:35:33,CH4,0.0,31.76494,117.2648,0
47174,33,2025-07-03 18:35:32,CO2 ,350.0,31.76494,117.2648,0
47173,33,2025-07-03 18:35:32,CH4,0.0,31.76494,117.2648,0
47172,33,2025-07-03 18:35:31,CO2 ,350.0,31.76494,117.2648,0
47171,33,2025-07-03 18:35:31,CH4,0.0,31.76494,117.2648,0
47170,33,2025-07-03 18:35:30,CO2 ,350.0,31.76494,117.2648,0
47169,33,2025-07-03 18:35:30,CH4,0.0,31.76494,117.2648,0
47168,33,2025-07-03 18:35:28,CO2 ,350.0,31.76494,117.2648,0
47167,33,2025-07-03 18:35:28,CH4,0.0,31.76494,117.2648,0
