id,device,timestamp,sensor_type,value,lat,lon,is_deleted
43628,30,2025-07-03 18:15:03,CO2 ,350.0,0.0,0.0,0
43627,30,2025-07-03 18:15:03,CH4,0.0,0.0,0.0,0
43608,30,2025-07-03 18:14:59,CO2 ,350.0,0.0,0.0,0
43607,30,2025-07-03 18:14:59,CH4,0.0,0.0,0.0,0
43598,30,2025-07-03 18:14:58,CO2 ,350.0,0.0,0.0,0
43597,30,2025-07-03 18:14:58,CH4,0.0,0.0,0.0,0
43590,30,2025-07-03 18:14:57,CO2 ,350.0,0.0,0.0,0
43589,30,2025-07-03 18:14:57,CH4,0.0,0.0,0.0,0
43582,30,2025-07-03 18:14:55,CO2 ,350.0,0.0,0.0,0
43581,30,2025-07-03 18:14:55,CH4,0.0,0.0,0.0,0
43562,30,2025-07-03 18:14:51,CO2 ,350.0,0.0,0.0,0
43561,30,2025-07-03 18:14:51,CH4,0.0,0.0,0.0,0
43556,30,2025-07-03 18:14:50,CO2 ,352.0,0.0,0.0,0
43555,30,2025-07-03 18:14:50,CH4,0.0,0.0,0.0,0
43546,30,2025-07-03 18:14:49,CO2 ,352.0,0.0,0.0,0
43545,30,2025-07-03 18:14:49,CH4,0.0,0.0,0.0,0
43540,30,2025-07-03 18:14:47,CO2 ,-2.0,0.0,0.0,0
43539,30,2025-07-03 18:14:47,CH4,0.0,0.0,0.0,0
43532,30,2025-07-03 18:14:46,CO2 ,352.0,0.0,0.0,0
43531,30,2025-07-03 18:14:46,CH4,0.0,0.0,0.0,0
43524,30,2025-07-03 18:14:45,CO2 ,352.0,0.0,0.0,0
43523,30,2025-07-03 18:14:45,CH4,0.0,0.0,0.0,0
43502,30,2025-07-03 18:14:41,CO2 ,352.0,0.0,0.0,0
43501,30,2025-07-03 18:14:41,CH4,0.0,0.0,0.0,0
43492,30,2025-07-03 18:14:39,CO2 ,352.0,0.0,0.0,0
43491,30,2025-07-03 18:14:39,CH4,0.0,0.0,0.0,0
43484,30,2025-07-03 18:14:38,CO2 ,352.0,0.0,0.0,0
43483,30,2025-07-03 18:14:38,CH4,0.0,0.0,0.0,0
43476,30,2025-07-03 18:14:36,CO2 ,353.0,0.0,0.0,0
43475,30,2025-07-03 18:14:36,CH4,0.0,0.0,0.0,0
43454,30,2025-07-03 18:14:32,CO2 ,351.0,0.0,0.0,0
43453,30,2025-07-03 18:14:32,CH4,0.0,0.0,0.0,0
